raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.5804884,21.5923586,0.004,0.001,16.354,0.005,16.077,0.002,15.986,0.005,16.001,0.005
114.5806091,21.4345625,0.002,0.003,19.783,0.017,18.604,0.007,17.137,0.007,16.421,0.007
114.5806701,21.5980928,0.013,0.004,16.979,0.006,16.527,0.001,16.363,0.003,16.32,0.000296
114.5807305,21.4612342,0.017,0.014,21.873,0.085,20.92,0.029,20.077,0.022,19.871,0.018
114.5807329,21.2592373,0.011,0.018,21.93,0.168,20.647,0.016,19.757,0.029,19.314,0.017
114.580737,21.2626912,0.042,0.056,22.874,0.251,21.769,0.054,21.253,0.05,20.727,0.057
114.5808141,21.7006662,0.004,0.001,16.264,0.004,15.873,0.002,15.744,0.003,15.717,0.003
114.58108,21.3131107,0.022,0.021,22.248,0.232,21.349,0.04,21.151,0.071,20.469,0.13
114.5810849,21.4120048,0.01,0.01,21.823,0.12,20.86,0.012,20.069,0.028,19.724,0.016
114.5811015,21.5677816,0.005,0.003,19.392,0.011,18.593,0.006,18.275,0.005,18.167,0.013
114.5811099,21.4904315,0.026,0.025,21.894,0.17,21.78,0.063,21.193,0.029,20.679,0.159
114.5811459,21.2531491,0.004,0.008,17.301,0.001,16.753,0.003,16.547,0.002,16.473,0.005
114.5812385,21.5018434,0.003,0.004,16.032,0.005,15.73,0.006,15.633,0.004,15.61,0.004
114.581305,21.7610759,0.02,0.025,21.298,0.031,20.576,0.022,20.214,0.015,20.032,0.047
114.5813291,21.8312458,0.007,0.008,18.793,0.008,18.438,0.003,18.315,0.006,18.286,0.006
114.5813826,21.7703724,0.003,0.00097,15.955,0.002,15.689,0.002,15.606,0.003,15.606,0.001
114.5815051,21.6192458,0.003,0.004,18.084,0.003,17.124,0.003,16.743,0.004,16.557,0.005
114.5815673,21.3588077,0.017,0.006,18.958,0.009,17.745,0.003,16.902,0.002,16.522,0.011
114.5817076,21.3026591,0.026,0.025,22.721,0.161,21.659,0.042,21.172,0.048,20.801,0.144
114.5817375,21.7686833,0.004,0.008,16.182,0.004,15.415,0.001,15.089,0.004,14.951,0.002
