raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.8681852,11.4122864,0.015,0.003,18.59,0.006,17.36,0.002,16.691,0.005,16.391,0.005,16.202,0.008
8.8681974,11.5741401,0.007,0.006,21.431,0.04,20.201,0.014,19.192,0.007,18.749,0.012,18.553,0.02
8.8681987,11.7788765,0.006,0.013,15.849,0.002,15.372,0.002,15.229,0.007,15.188,0.004,15.154,0.004
8.8682051,11.9725873,0.005,0.035,20.092,0.014,18.864,0.009,17.766,0.01,17.265,0.007,17.018,0.01
8.8682064,11.611939,0.005,0.005,19.385,0.009,19.126,0.007,19.032,0.007,19.016,0.01,19.063,0.041
8.8682123,11.8883321,0.022,0.021,22.093,0.196,21.177,0.039,20.881,0.058,20.545,0.032,20.606,0.174
8.8682157,11.8498558,0.004,0.007,19.307,0.008,18.816,0.007,18.667,0.004,18.615,0.009,18.564,0.038
8.8682378,11.5279995,0.008,0.009,17.856,0.003,17.061,0.002,16.692,0.003,16.525,0.004,16.413,0.005
8.8682435,11.4386767,0.012,0.011,22.465,0.189,20.54,0.037,19.891,0.052,19.579,0.029,19.241,0.037
8.8682542,11.9290793,0.003,0.004,20.316,0.016,19.099,0.004,18.37,0.006,18.034,0.006,17.888,0.019
8.8682593,11.6474968,0.002,0.004,15.796,0.001,15.369,0.001,15.242,0.003,15.216,0.003,15.182,0.004
8.8682662,11.5692667,0.004,0.003,20.166,0.016,18.967,0.005,17.692,0.006,17.122,0.005,16.863,0.006
8.8682765,11.7068522,0.003,0.002,13.899,0.004,13.564,0.003,13.434,0.001,13.428,0.002,13.39,0.002
8.8682818,11.5550144,0.003,0.003,19.865,0.012,18.675,0.004,17.859,0.003,17.483,0.005,17.289,0.01
8.8683178,12.232196,0.003,0.005,19.804,0.01,18.633,0.012,17.141,0.003,16.486,0.004,16.166,0.013
8.8683476,11.8560453,0.01,0.008,21.715,0.048,20.224,0.018,19.672,0.029,19.382,0.044,19.183,0.058
8.8683487,12.0293424,0.002,0.002,16.3,0.002,15.64,0.003,15.393,0.002,15.3,0.002,15.245,0.002
8.8683551,11.7755611,0.013,0.012,22.105,0.139,21.075,0.03,20.299,0.022,19.993,0.021,19.556,0.043
8.8683577,11.9072351,0.018,0.016,22.016,0.168,21.289,0.043,20.688,0.03,20.549,0.069,20.127,0.183
8.8683581,11.6623382,0.013,0.013,22.338,0.179,21.344,0.042,20.491,0.001,20.047,0.04,19.77,0.061
8.8683657,11.4834995,0.004,0.007,19.941,0.008,18.933,0.007,18.509,0.005,18.323,0.008,18.174,0.019
8.8683818,11.9293499,0.013,0.014,21.841,0.027,20.936,0.014,20.563,0.02,20.254,0.026,20.084,0.173
8.8684113,11.5143554,0.02,0.019,22.009,0.167,21.995,0.052,20.962,0.042,20.307,0.032,20.177,0.247
8.8684115,11.6447361,0.003,0.002,13.607,0.002,13.486,-999,13.328,-999,13.184,0.00071,13.174,0.002
8.8684248,11.9857507,0.025,0.045,22.003,0.09,21.312,0.063,21.038,0.041,20.655,0.084,20.487,0.148
8.8684325,11.6252999,0.003,0.001,14.944,0.002,14.494,0.001,14.355,0.002,14.311,0.001,14.272,0.002
8.868445,11.6746798,0.049,0.032,22.113,0.028,21.452,0.041,21.201,0.059,20.961,0.138,20.507,0.17
8.8684539,11.6707568,0.004,0.005,15.509,0.002,14.964,0.002,14.759,0.005,14.696,0.003,14.63,0.004
8.8684581,11.5021028,0.006,0.01,21.647,0.052,20.582,0.015,19.354,0.008,18.85,0.014,18.546,0.023
8.8684628,11.6630744,0.044,0.034,22.265,0.158,21.532,0.064,21.292,0.034,21.084,0.168,20.604,0.185
8.8684786,12.1417068,0.007,0.007,22.124,0.04,20.899,0.022,19.569,0.015,18.927,0.012,18.589,0.021
8.8684798,11.8022015,0.004,0.004,18.962,0.005,18.513,0.006,18.278,0,18.334,0.004,18.267,0.031
8.8684873,12.0661531,0.01,0.014,21.168,0.038,19.997,0.011,19.498,0.008,19.237,0.028,19.068,0.025
8.8685021,11.8821344,0.013,0.012,20.926,0.02,20.378,0.016,20.139,0.02,20.017,0.019,20.032,0.077
8.8685063,11.8696349,0.031,0.019,22.044,0.176,21.369,0.056,20.798,0.042,20.534,0.063,20.445,0.15
8.8685678,11.8751477,0.011,0.013,21.942,0.1,20.66,0.024,20.119,0.024,19.881,0.048,19.634,0.033
8.8685711,11.9086462,0.039,0.026,21.994,0.085,21.153,0.055,20.916,0.048,20.743,0.089,20.494,0.156
8.8685987,12.0843134,0.003,0.004,20.797,0.03,19.52,0.008,18.437,0.006,17.952,0.014,17.706,0.007
8.8686057,11.6286309,0.004,0.004,20.625,0.018,19.401,0.008,18.698,0.008,18.383,0.009,18.147,0.017
8.8686172,11.8616042,0.01,0.021,20.944,0.052,20.553,0.035,20.213,0.054,20.094,0.095,19.884,0.012
8.8686264,12.065804,0.003,0.016,21.151,0.016,19.852,0.009,18.603,0.008,18.029,0.006,17.777,0.012
8.8686339,12.2549852,0.014,0.018,21.017,0.054,20.488,0.028,20.304,0.031,20.066,0.038,19.985,0.1
8.8686361,11.4854206,0.096,0.076,21.298,0.061,21.259,0.034,20.824,0.001,20.624,0.17,18.97,0.298
8.8686367,11.7760593,0.004,0.003,20.429,0.016,19.187,0.005,18.399,0.005,18.032,0.003,17.818,0.008
8.8686379,11.9437679,0.016,0.027,21.512,0.046,20.694,0.032,20.538,0.036,20.239,0.037,19.676,0.054
8.8686486,11.8237318,0.004,0.009,13.629,0.021,13.42,-999,13.286,-999,13.18,0.000355,13.162,0.000347
8.8686492,11.4043809,0.009,0.006,16.433,0.003,15.819,0.004,15.607,0.007,15.543,0.004,15.467,0.009
8.8686544,12.0935761,0.012,0.009,20.406,0.018,20.104,0.012,20.031,0.02,19.972,0.055,19.927,0.094
8.8686615,11.8859251,0.006,0.006,21.066,0.047,19.396,0.023,18.849,0.021,18.614,0.028,18.439,0.022
8.8686747,12.089372,0.004,0.004,21.234,0.044,19.9,0.011,18.95,0.006,18.501,0.014,18.317,0.012
8.8686829,12.1725365,0.017,0.017,22.802,0.273,21.428,0.049,20.681,0.031,20.289,0.063,19.789,0.068
8.8686899,11.6815878,0.015,0.012,21.936,0.152,20.996,0.046,20.35,0.028,19.926,0.045,19.65,0.052
8.8686935,11.7858594,0.003,0.002,14.954,0.002,14.592,0.002,14.482,0.004,14.466,0.002,14.451,0.007
8.8686939,11.8587242,0.006,0.006,19.994,0.012,18.73,0.007,17.839,0.003,17.452,0.008,17.27,0.000895
8.8686991,12.0474486,0.002,0.005,16.27,0.003,15.894,0.005,15.763,0.002,15.742,0.004,15.717,0.007
8.8687144,12.1246124,0.006,0.009,20.497,0.015,19.271,0.005,18.531,0.006,18.185,0.009,18.014,0.015
8.8687224,11.9052064,0.007,0.005,21.701,0.062,19.996,0.019,19.371,0.031,19.185,0.033,18.923,0.036
8.8687245,11.839473,0.015,0.018,13.428,-999,13.112,-999,13.005,-999,12.977,-999,12.961,0.004
