raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
290.2236914,37.839908,0.003,0.009,15.127,0.005,14.235,0.019,13.801,0.017,13.606,0.005,4.082
290.2237121,37.807648,0.073,0.049,17.794,0.012,17.108,0.013,16.797,0.031,16.694,0.014,2.148
290.2237228,37.7779834,0.025,0.024,18.95,0.015,18.102,0.00085,17.732,0.007,17.585,0.01,0.377
290.2237767,37.8805837,0.001,0.015,18.425,0.005,17.797,0.003,17.577,0.006,17.498,0.005,6.522
290.2237784,37.8435161,0.003,0.018,20.971,0.046,19.856,0.019,19.544,0.07,19.308,0.019,4.299
290.2238047,37.6843482,0.01,0.012,16.098,0.004,15.354,0.000437,15.064,0.000622,14.933,0.002,5.253
290.2238623,37.7378913,0.004,0.008,20.635,-999,19.368,-999,19.486,0.01,18.456,0.008,2.042
290.2238847,37.7509319,0.021,0.01,17.729,0.004,17.124,0.002,16.904,0.005,16.811,0.005,1.261
290.2239086,37.6600815,0.037,0.049,22.275,0.024,21.382,0.074,20.777,0.098,20.907,0.036,6.709
290.2239452,37.7577527,0.003,0.003,17.778,0.002,17.127,0.003,16.897,0.004,16.808,0.004,0.855
290.223956,37.7931204,0.009,0.011,20.327,0.024,19.682,0.026,19.382,0.021,19.224,0.027,1.278
290.2239741,37.8220287,0.004,0.005,17.908,0.002,17.165,0.001,16.892,0.007,16.771,0.005,3.01
290.2240139,37.6934426,0.014,0.018,21.9,0.089,20.849,0.027,20.518,0.021,20.252,0.025,4.708
290.2240639,37.7516769,0.005,0.016,18.963,0.005,18.238,0.008,17.945,0.004,17.83,0.008,1.218
290.2240711,37.7740198,0.029,0.017,19.952,0.017,19.518,0.021,19.25,0.025,19.093,0.042,0.169
290.2240752,37.8132286,0.017,0.029,22.436,0.193,21.439,0.075,20.628,0.043,20.246,0.056,2.483
290.2240831,37.7899291,0.004,0.004,17.739,0.011,17.093,0.004,16.876,0.005,16.773,0.004,1.088
290.2240948,37.7802483,0.004,0.004,17.195,0.003,16.324,0.007,16.017,0.005,15.832,0.005,0.514
290.2241181,37.7774947,0.012,0.017,18.498,0.01,17.845,0.02,17.651,0.008,17.547,0.009,0.355
290.224129,37.7601216,0.003,0.007,18.235,0.009,17.653,0.006,17.438,0.005,17.342,0.008,0.715
290.2241517,37.8751855,0.016,0.012,20.01,0.018,18.779,0.011,18.048,0.007,17.683,0.006,6.199
290.2241579,37.6741612,0.016,0.059,22.106,0.143,21.093,0.037,20.335,0.035,19.932,0.016,5.865
290.22419,37.9056647,0.003,0.014,17.474,0.004,16.523,0.003,16.154,0.005,15.955,0.002,8.027
290.2241942,37.7370054,0.003,0.005,19.168,0.01,18.467,0.008,18.222,0.011,18.119,0.011,2.096
290.2242262,37.669588,0.009,0.026,19.553,0.014,18.821,0.008,18.561,0.003,18.474,0.008,6.139
290.2242267,37.6645033,0.019,0.026,21.55,0.039,20.942,0.023,20.668,0.047,20.416,0.03,6.444
290.2242304,37.7671765,0.003,0.004,17.679,0.005,17.065,0.01,16.857,0.006,16.771,0.004,0.306
