raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
259.307092,43.1559983,0.008,0.01,15.464,0.01,15.641,0.006,15.845,0.015,15.972,0.012,1.656
259.3070961,42.9493387,0.025,0.042,22.253,0.071,21.577,0.061,21.404,0.031,21.077,0.173,11.292
259.3070989,43.1126361,0.052,0.029,17.699,0.023,17.313,0.032,17.169,0.008,17.161,0.001,1.852
259.3071053,43.1097825,0.009,0.025,18.898,0.021,18.478,0.038,18.562,0.011,18.61,0.009,1.988
259.3071134,43.2139234,0.085,0.027,18.535,0.007,18.338,0.01,18.273,0.008,18.287,0.02,4.79
259.3071503,43.2904273,0.004,0.003,17.683,0.005,17.325,0.003,17.187,0.003,17.158,0.006,9.309
259.3071572,43.168918,0.078,0.007,18.531,0.012,18.337,0.029,18.28,0.01,18.221,0.014,2.272
259.3071625,43.1438852,0.01,0.019,16.338,0.022,16.616,0.012,16.791,0.045,19.753,-999,1.257
259.3071857,43.2049592,0.003,0.009,20.405,0.026,20.08,0.026,19.986,0.014,20.063,0.042,4.272
259.3072047,43.1459709,0.014,0.011,17.075,0.049,16.746,0.051,16.636,0.009,16.652,0.005,1.308
259.3072212,43.1287817,0.021,0.083,17.916,0.012,17.952,0.01,17.654,0.026,18.486,0.397,1.267
259.3072404,43.1176556,0.048,0.014,17.837,0.023,17.447,0.012,17.304,0.006,17.29,0.01,1.635
259.3072428,43.1159522,0.013,0.012,18.556,0.023,18.362,0.055,18.239,0.019,18.244,0.005,1.708
259.3072498,43.1856082,0.036,0.042,20.089,0.018,19.788,0.021,19.651,0.022,19.772,0.059,3.173
259.307267,43.1316734,0.02,0.036,18.523,0.041,17.48,0.008,17.938,0.015,18.012,0.155,1.216
259.307269,43.0359768,0.007,0.011,20.29,0.032,19.989,0.008,19.872,0.013,20.844,0.449,6.147
259.307279,43.0995604,0.007,0.022,18.837,0.014,18.569,0.021,18.547,0.01,18.531,0.055,2.513
259.3073093,43.1334674,0.015,0.016,16.878,0.057,17.415,0.101,16.584,0.047,15.917,0.266,1.197
259.3073477,43.215603,0.043,0.037,18.871,0.015,18.596,0.028,18.604,0.008,18.649,0.015,4.89
259.3073702,43.0895823,0.035,0.048,20.084,0.082,19.917,0.078,19.78,0.037,19.83,0.091,3.056
259.3073732,43.1107758,0.044,0.081,20.438,0.044,19.931,0.037,19.545,0.057,20.027,0.087,1.947
259.3073823,43.1868424,0.004,0.009,18.522,0.006,18.313,0.003,18.22,0.008,18.263,0.009,3.244
259.3073925,43.1210786,0.01,0.015,15.875,0.012,15.381,0.073,15.212,0.022,15.132,0.005,1.506
259.3074225,43.0845343,0.004,0.007,18.384,0.01,18.127,0.007,18.075,0.008,18.069,0.007,3.338
259.3074389,43.0927297,0.133,0.083,18.752,0.03,18.504,0.034,18.495,0.033,18.511,0.042,2.884
259.3074517,43.0685566,0.005,0.011,17.539,0.004,17.148,0.004,16.965,0.005,16.874,0.007,4.248
259.307468,43.2027288,0.004,0.022,19.553,0.016,19.279,0.008,19.185,0.008,19.11,0.028,4.147
259.3074725,43.1543194,0.015,0.012,18.912,0.018,18.619,0.022,18.555,0.021,18.379,0.024,1.599
259.3075249,43.174374,0.01,0.022,20.616,0.066,19.977,0.035,19.827,0.054,19.937,0.078,2.565
259.3075283,43.1003866,0.05,0.032,19.394,0.061,19.176,0.026,19.169,0.013,19.258,0.011,2.474
259.307535,43.2059827,0.079,0.038,20.001,0.011,19.722,0.016,19.627,0.011,19.634,0.015,4.335
259.3075398,43.2478015,0.002,0.004,20.116,0.014,19.794,0.023,19.725,0.01,19.677,0.04,6.782
259.3075412,43.2408273,0.008,0.005,20.142,0.01,19.653,0.02,19.446,0.009,19.395,0.019,6.371
259.3075607,43.1595843,0.009,0.008,19.258,0.026,19.02,0.02,18.958,0.044,18.911,0.034,1.828
259.3075937,43.2803631,0.022,0.016,21.31,0.025,20.845,0.019,20.662,0.018,20.499,0.048,8.713
